ID	number_of_datasets	link
hif-1	2	?type=Experiment&target.label=hif-1
him-1	2	?type=Experiment&target.label=him-1
hth	2	?type=Experiment&target.label=hth
kni	2	?type=Experiment&target.label=kni
let-607	2	?type=Experiment&target.label=let-607
lir-3	2	?type=Experiment&target.label=lir-3
med-1	2	?type=Experiment&target.label=med-1
mod(mdg4)	2	?type=Experiment&target.label=mod(mdg4)
msi	2	?type=Experiment&target.label=msi
mub	2	?type=Experiment&target.label=mub
nhr-10	2	?type=Experiment&target.label=nhr-10
nhr-116	2	?type=Experiment&target.label=nhr-116
nhr-23	2	?type=Experiment&target.label=nhr-23
nhr-6	2	?type=Experiment&target.label=nhr-6
nhr-90	2	?type=Experiment&target.label=nhr-90
prd	2	?type=Experiment&target.label=prd
qkr54B	2	?type=Experiment&target.label=qkr54B
rec-8	2	?type=Experiment&target.label=rec-8
salr	2	?type=Experiment&target.label=salr
sma-9	2	?type=Experiment&target.label=sma-9
snRNP-U1-70K	2	?type=Experiment&target.label=snRNP-U1-70K
sptf-1	2	?type=Experiment&target.label=sptf-1
sqd	2	?type=Experiment&target.label=sqd
tll	2	?type=Experiment&target.label=tll
tra2	2	?type=Experiment&target.label=tra2
trem	2	?type=Experiment&target.label=trem
unc-55	2	?type=Experiment&target.label=unc-55
x16	2	?type=Experiment&target.label=x16
yki	2	?type=Experiment&target.label=yki
ztf-16	2	?type=Experiment&target.label=ztf-16
A1CF	1	?type=Experiment&target.label=A1CF
ADD3	1	?type=Experiment&target.label=ADD3
AEBP2	1	?type=Experiment&target.label=AEBP2
AFF4	1	?type=Experiment&target.label=AFF4
AGO3	1	?type=Experiment&target.label=AGO3
AHDC1	1	?type=Experiment&target.label=AHDC1
AHR	1	?type=Experiment&target.label=AHR
AKNA	1	?type=Experiment&target.label=AKNA
ALDH18A1	1	?type=Experiment&target.label=ALDH18A1
ANXA2	1	?type=Experiment&target.label=ANXA2
ARHGEF1	1	?type=Experiment&target.label=ARHGEF1
ARID1B	1	?type=Experiment&target.label=ARID1B
ARID3B	1	?type=Experiment&target.label=ARID3B
ARID4A	1	?type=Experiment&target.label=ARID4A
ARID5B	1	?type=Experiment&target.label=ARID5B
ARNT2	1	?type=Experiment&target.label=ARNT2
ASH1L	1	?type=Experiment&target.label=ASH1L
ATAD3A	1	?type=Experiment&target.label=ATAD3A
ATF5	1	?type=Experiment&target.label=ATF5
ATM	1	?type=Experiment&target.label=ATM
ATOH8	1	?type=Experiment&target.label=ATOH8
ATRX	1	?type=Experiment&target.label=ATRX
ATbp	1	?type=Experiment&target.label=ATbp
Antp	1	?type=Experiment&target.label=Antp
Asciz	1	?type=Experiment&target.label=Asciz
Atf-2	1	?type=Experiment&target.label=Atf-2
Atf3	1	?type=Experiment&target.label=Atf3
B-H2	1	?type=Experiment&target.label=B-H2
B0035.1	1	?type=Experiment&target.label=B0035.1
B0261.1	1	?type=Experiment&target.label=B0261.1
B0310.2	1	?type=Experiment&target.label=B0310.2
BACH2	1	?type=Experiment&target.label=BACH2
BATF	1	?type=Experiment&target.label=BATF
BATF2	1	?type=Experiment&target.label=BATF2
BAZ2A	1	?type=Experiment&target.label=BAZ2A
BCL11B	1	?type=Experiment&target.label=BCL11B
BCL6B	1	?type=Experiment&target.label=BCL6B
BCOR	1	?type=Experiment&target.label=BCOR
BEAF-32	1	?type=Experiment&target.label=BEAF-32
BHLHA15	1	?type=Experiment&target.label=BHLHA15
BNC2	1	?type=Experiment&target.label=BNC2
BOLL	1	?type=Experiment&target.label=BOLL
BORCS8-MEF2B	1	?type=Experiment&target.label=BORCS8-MEF2B
BRCA2	1	?type=Experiment&target.label=BRCA2
BRD2	1	?type=Experiment&target.label=BRD2
BRD9	1	?type=Experiment&target.label=BRD9
BYSL	1	?type=Experiment&target.label=BYSL
Bdp1	1	?type=Experiment&target.label=Bdp1
BtbVII	1	?type=Experiment&target.label=BtbVII
Bteb2	1	?type=Experiment&target.label=Bteb2
C04F5.9	1	?type=Experiment&target.label=C04F5.9
C11orf30	1	?type=Experiment&target.label=C11orf30
C16A3.4	1	?type=Experiment&target.label=C16A3.4
C1QBP	1	?type=Experiment&target.label=C1QBP
C34B4.2	1	?type=Experiment&target.label=C34B4.2
C34F6.9	1	?type=Experiment&target.label=C34F6.9
C38D4.7	1	?type=Experiment&target.label=C38D4.7
CALR	1	?type=Experiment&target.label=CALR
CAPRIN1	1	?type=Experiment&target.label=CAPRIN1
CAST	1	?type=Experiment&target.label=CAST
CBFA2T2	1	?type=Experiment&target.label=CBFA2T2
CBFA2T3	1	?type=Experiment&target.label=CBFA2T3
CBX3phospho	1	?type=Experiment&target.label=CBX3phospho
CC2D1A	1	?type=Experiment&target.label=CC2D1A
CCDC124	1	?type=Experiment&target.label=CCDC124
CCDC47	1	?type=Experiment&target.label=CCDC47
CCDC6	1	?type=Experiment&target.label=CCDC6
CCNT1	1	?type=Experiment&target.label=CCNT1
CCNT2	1	?type=Experiment&target.label=CCNT2
CCT2	1	?type=Experiment&target.label=CCT2
CCT3	1	?type=Experiment&target.label=CCT3
CCT4	1	?type=Experiment&target.label=CCT4
CDAN1	1	?type=Experiment&target.label=CDAN1
CDX4	1	?type=Experiment&target.label=CDX4
CEBPA	1	?type=Experiment&target.label=CEBPA
CENPBD1	1	?type=Experiment&target.label=CENPBD1
CENPT	1	?type=Experiment&target.label=CENPT
CENPX	1	?type=Experiment&target.label=CENPX
CERS6	1	?type=Experiment&target.label=CERS6
CG10147	1	?type=Experiment&target.label=CG10147
CG10209	1	?type=Experiment&target.label=CG10209
CG10267	1	?type=Experiment&target.label=CG10267
CG10274	1	?type=Experiment&target.label=CG10274
CG10431	1	?type=Experiment&target.label=CG10431
CG10462	1	?type=Experiment&target.label=CG10462
CG10543	1	?type=Experiment&target.label=CG10543
CG10565	1	?type=Experiment&target.label=CG10565
CG10631	1	?type=Experiment&target.label=CG10631
CG10654	1	?type=Experiment&target.label=CG10654
CG10669	1	?type=Experiment&target.label=CG10669
CG10979	1	?type=Experiment&target.label=CG10979
CG11398	1	?type=Experiment&target.label=CG11398
CG11504	1	?type=Experiment&target.label=CG11504
CG11617	1	?type=Experiment&target.label=CG11617
CG11723	1	?type=Experiment&target.label=CG11723
CG11762	1	?type=Experiment&target.label=CG11762
CG11902	1	?type=Experiment&target.label=CG11902
CG12071	1	?type=Experiment&target.label=CG12071
CG12104	1	?type=Experiment&target.label=CG12104
CG12155	1	?type=Experiment&target.label=CG12155
CG12219	1	?type=Experiment&target.label=CG12219
CG12236	1	?type=Experiment&target.label=CG12236
CG12299	1	?type=Experiment&target.label=CG12299
CG1233	1	?type=Experiment&target.label=CG1233
CG12391	1	?type=Experiment&target.label=CG12391
CG12659	1	?type=Experiment&target.label=CG12659
CG12744	1	?type=Experiment&target.label=CG12744
CG12768	1	?type=Experiment&target.label=CG12768
CG12769	1	?type=Experiment&target.label=CG12769
CG12942	1	?type=Experiment&target.label=CG12942
CG13123	1	?type=Experiment&target.label=CG13123
CG13204	1	?type=Experiment&target.label=CG13204
CG13296	1	?type=Experiment&target.label=CG13296
CG13424	1	?type=Experiment&target.label=CG13424
CG13624	1	?type=Experiment&target.label=CG13624
CG13775	1	?type=Experiment&target.label=CG13775
CG13894	1	?type=Experiment&target.label=CG13894
CG14655	1	?type=Experiment&target.label=CG14655
CG14710	1	?type=Experiment&target.label=CG14710
CG14711	1	?type=Experiment&target.label=CG14711
CG14965	1	?type=Experiment&target.label=CG14965
CG15011	1	?type=Experiment&target.label=CG15011
CG15073	1	?type=Experiment&target.label=CG15073
CG15269	1	?type=Experiment&target.label=CG15269
CG1529	1	?type=Experiment&target.label=CG1529
CG15479	1	?type=Experiment&target.label=CG15479
CG15514	1	?type=Experiment&target.label=CG15514
CG15601	1	?type=Experiment&target.label=CG15601
CG15696	1	?type=Experiment&target.label=CG15696
CG15710	1	?type=Experiment&target.label=CG15710
CG1602	1	?type=Experiment&target.label=CG1602
CG1603	1	?type=Experiment&target.label=CG1603
CG1620	1	?type=Experiment&target.label=CG1620
CG1621	1	?type=Experiment&target.label=CG1621
CG1646	1	?type=Experiment&target.label=CG1646
CG1647	1	?type=Experiment&target.label=CG1647
CG16779	1	?type=Experiment&target.label=CG16779
CG16815	1	?type=Experiment&target.label=CG16815
CG16863	1	?type=Experiment&target.label=CG16863
CG17186	1	?type=Experiment&target.label=CG17186
CG17359	1	?type=Experiment&target.label=CG17359
CG17385	1	?type=Experiment&target.label=CG17385
CG17568	1	?type=Experiment&target.label=CG17568
CG17801	1	?type=Experiment&target.label=CG17801
CG17802	1	?type=Experiment&target.label=CG17802
CG17806	1	?type=Experiment&target.label=CG17806
CG17829	1	?type=Experiment&target.label=CG17829
CG17912	1	?type=Experiment&target.label=CG17912
CG1792	1	?type=Experiment&target.label=CG1792
CG18011	1	?type=Experiment&target.label=CG18011
CG18262	1	?type=Experiment&target.label=CG18262
CG1832	1	?type=Experiment&target.label=CG1832
CG18476	1	?type=Experiment&target.label=CG18476
CG18599	1	?type=Experiment&target.label=CG18599
CG18619	1	?type=Experiment&target.label=CG18619
CG18764	1	?type=Experiment&target.label=CG18764
CG2116	1	?type=Experiment&target.label=CG2116
CG2120	1	?type=Experiment&target.label=CG2120
CG2202	1	?type=Experiment&target.label=CG2202
CG2678	1	?type=Experiment&target.label=CG2678
CG2712	1	?type=Experiment&target.label=CG2712
CG2875	1	?type=Experiment&target.label=CG2875
CG30020	1	?type=Experiment&target.label=CG30020
CG30122	1	?type=Experiment&target.label=CG30122
CG3032	1	?type=Experiment&target.label=CG3032
CG30403	1	?type=Experiment&target.label=CG30403
CG30431	1	?type=Experiment&target.label=CG30431
CG3065	1	?type=Experiment&target.label=CG3065
CG31365	1	?type=Experiment&target.label=CG31365
CG31388	1	?type=Experiment&target.label=CG31388
CG31627	1	?type=Experiment&target.label=CG31627
CG3163	1	?type=Experiment&target.label=CG3163
CG32006	1	?type=Experiment&target.label=CG32006
CG32264	1	?type=Experiment&target.label=CG32264
CG3281	1	?type=Experiment&target.label=CG3281
CG33017	1	?type=Experiment&target.label=CG33017
CG33213	1	?type=Experiment&target.label=CG33213
CG3407	1	?type=Experiment&target.label=CG3407
CG34367	1	?type=Experiment&target.label=CG34367
CG34376	1	?type=Experiment&target.label=CG34376
CG34406	1	?type=Experiment&target.label=CG34406
CG3838	1	?type=Experiment&target.label=CG3838
CG3919	1	?type=Experiment&target.label=CG3919
CG3995	1	?type=Experiment&target.label=CG3995
CG4282	1	?type=Experiment&target.label=CG4282
CG4318	1	?type=Experiment&target.label=CG4318
CG4328	1	?type=Experiment&target.label=CG4328
CG4424	1	?type=Experiment&target.label=CG4424
CG4617	1	?type=Experiment&target.label=CG4617
CG4707	1	?type=Experiment&target.label=CG4707
CG4820	1	?type=Experiment&target.label=CG4820
CG4854	1	?type=Experiment&target.label=CG4854
CG5180	1	?type=Experiment&target.label=CG5180
CG5204	1	?type=Experiment&target.label=CG5204
CG5245	1	?type=Experiment&target.label=CG5245
CG6254	1	?type=Experiment&target.label=CG6254
CG6276	1	?type=Experiment&target.label=CG6276
CG6654	1	?type=Experiment&target.label=CG6654
CG6683	1	?type=Experiment&target.label=CG6683
CG6765	1	?type=Experiment&target.label=CG6765
CG6792	1	?type=Experiment&target.label=CG6792
CG6808	1	?type=Experiment&target.label=CG6808
CG6813	1	?type=Experiment&target.label=CG6813
CG7045	1	?type=Experiment&target.label=CG7045
CG7101	1	?type=Experiment&target.label=CG7101
CG7271	1	?type=Experiment&target.label=CG7271
CG7368	1	?type=Experiment&target.label=CG7368
CG7556	1	?type=Experiment&target.label=CG7556
CG7745	1	?type=Experiment&target.label=CG7745
CG7786	1	?type=Experiment&target.label=CG7786
CG7839	1	?type=Experiment&target.label=CG7839
CG7878	1	?type=Experiment&target.label=CG7878
CG7928	1	?type=Experiment&target.label=CG7928
CG7971	1	?type=Experiment&target.label=CG7971
CG7987	1	?type=Experiment&target.label=CG7987
CG8089	1	?type=Experiment&target.label=CG8089
CG8159	1	?type=Experiment&target.label=CG8159
CG8281	1	?type=Experiment&target.label=CG8281
CG8301	1	?type=Experiment&target.label=CG8301
CG8319	1	?type=Experiment&target.label=CG8319
CG8359	1	?type=Experiment&target.label=CG8359
CG8388	1	?type=Experiment&target.label=CG8388
CG8632	1	?type=Experiment&target.label=CG8632
CG8924	1	?type=Experiment&target.label=CG8924
CG8944	1	?type=Experiment&target.label=CG8944
CG9139	1	?type=Experiment&target.label=CG9139
CG9437	1	?type=Experiment&target.label=CG9437
CG9609	1	?type=Experiment&target.label=CG9609
CG9705	1	?type=Experiment&target.label=CG9705
CG9727	1	?type=Experiment&target.label=CG9727
CG9797	1	?type=Experiment&target.label=CG9797
CG9817	1	?type=Experiment&target.label=CG9817
CG9948	1	?type=Experiment&target.label=CG9948
CGGBP1	1	?type=Experiment&target.label=CGGBP1
CHD3	1	?type=Experiment&target.label=CHD3
CHES-1-like	1	?type=Experiment&target.label=CHES-1-like
CITED2	1	?type=Experiment&target.label=CITED2
CLASP2	1	?type=Experiment&target.label=CLASP2
CNOT4	1	?type=Experiment&target.label=CNOT4
CNOT8	1	?type=Experiment&target.label=CNOT8
CPEB1	1	?type=Experiment&target.label=CPEB1
CREB3L1	1	?type=Experiment&target.label=CREB3L1
CSDC2	1	?type=Experiment&target.label=CSDC2
CSE1L	1	?type=Experiment&target.label=CSE1L
CSNK1E	1	?type=Experiment&target.label=CSNK1E
CSRNP2	1	?type=Experiment&target.label=CSRNP2
CSRNP3	1	?type=Experiment&target.label=CSRNP3
CSTF3	1	?type=Experiment&target.label=CSTF3
CTBP2	1	?type=Experiment&target.label=CTBP2
CTCF+RAD21	1	?type=Experiment&target.label=CTCF+RAD21
CTCFL	1	?type=Experiment&target.label=CTCFL
CWC15	1	?type=Experiment&target.label=CWC15
CWF19L2	1	?type=Experiment&target.label=CWF19L2
CXXC5	1	?type=Experiment&target.label=CXXC5
Camta	1	?type=Experiment&target.label=Camta
Caper	1	?type=Experiment&target.label=Caper
Cbp20	1	?type=Experiment&target.label=Cbp20
Chrac-16	1	?type=Experiment&target.label=Chrac-16
Clk	1	?type=Experiment&target.label=Clk
CoRest	1	?type=Experiment&target.label=CoRest
CrebA	1	?type=Experiment&target.label=CrebA
CrebB	1	?type=Experiment&target.label=CrebB
Crg-1	1	?type=Experiment&target.label=Crg-1
D1	1	?type=Experiment&target.label=D1
D19A	1	?type=Experiment&target.label=D19A
D19B	1	?type=Experiment&target.label=D19B
DACH1	1	?type=Experiment&target.label=DACH1
DARS	1	?type=Experiment&target.label=DARS
DAZ3	1	?type=Experiment&target.label=DAZ3
DBP	1	?type=Experiment&target.label=DBP
DCP1A	1	?type=Experiment&target.label=DCP1A
DCP2	1	?type=Experiment&target.label=DCP2
DCTN2	1	?type=Experiment&target.label=DCTN2
DDX10	1	?type=Experiment&target.label=DDX10
DDX17	1	?type=Experiment&target.label=DDX17
DDX23	1	?type=Experiment&target.label=DDX23
DDX43	1	?type=Experiment&target.label=DDX43
DDX5	1	?type=Experiment&target.label=DDX5
DEK	1	?type=Experiment&target.label=DEK
DIDO1	1	?type=Experiment&target.label=DIDO1
DLX1	1	?type=Experiment&target.label=DLX1
DLX6	1	?type=Experiment&target.label=DLX6
DMAP1	1	?type=Experiment&target.label=DMAP1
DMBX1	1	?type=Experiment&target.label=DMBX1
DR1	1	?type=Experiment&target.label=DR1
DRAP1	1	?type=Experiment&target.label=DRAP1
DZIP1	1	?type=Experiment&target.label=DZIP1
Dad	1	?type=Experiment&target.label=Dad
Deaf1	1	?type=Experiment&target.label=Deaf1
Dek	1	?type=Experiment&target.label=Dek
Dif	1	?type=Experiment&target.label=Dif
Dip3	1	?type=Experiment&target.label=Dip3
Dll	1	?type=Experiment&target.label=Dll
Dp	1	?type=Experiment&target.label=Dp
Dp1	1	?type=Experiment&target.label=Dp1
E(bx)	1	?type=Experiment&target.label=E(bx)
E(spl)m3-HLH	1	?type=Experiment&target.label=E(spl)m3-HLH
E(spl)m5-HLH	1	?type=Experiment&target.label=E(spl)m5-HLH
E(spl)m7-HLH	1	?type=Experiment&target.label=E(spl)m7-HLH
E(spl)m8-HLH	1	?type=Experiment&target.label=E(spl)m8-HLH
E(spl)mγ-HLH	1	?type=Experiment&target.label=E(spl)mγ-HLH
E(var)3-9	1	?type=Experiment&target.label=E(var)3-9
E(z)	1	?type=Experiment&target.label=E(z)
E2F2	1	?type=Experiment&target.label=E2F2
E2F3	1	?type=Experiment&target.label=E2F3
E2F7	1	?type=Experiment&target.label=E2F7
EEA1	1	?type=Experiment&target.label=EEA1
EGR2	1	?type=Experiment&target.label=EGR2
EHF	1	?type=Experiment&target.label=EHF
EIF2AK1	1	?type=Experiment&target.label=EIF2AK1
EIF2AK2	1	?type=Experiment&target.label=EIF2AK2
EIF3A	1	?type=Experiment&target.label=EIF3A
EIF4H	1	?type=Experiment&target.label=EIF4H
ELAVL4	1	?type=Experiment&target.label=ELAVL4
ELF2	1	?type=Experiment&target.label=ELF2
ELF3	1	?type=Experiment&target.label=ELF3
ELK3	1	?type=Experiment&target.label=ELK3
EMX1	1	?type=Experiment&target.label=EMX1
EP400	1	?type=Experiment&target.label=EP400
ESRP1	1	?type=Experiment&target.label=ESRP1
ESRRB	1	?type=Experiment&target.label=ESRRB
ETS2	1	?type=Experiment&target.label=ETS2
ETV1	1	?type=Experiment&target.label=ETV1
EXOSC4	1	?type=Experiment&target.label=EXOSC4
Eip75B	1	?type=Experiment&target.label=Eip75B
Eip78C	1	?type=Experiment&target.label=Eip78C
Eip93F	1	?type=Experiment&target.label=Eip93F
Elba2	1	?type=Experiment&target.label=Elba2
Ets21C	1	?type=Experiment&target.label=Ets21C
Ets96B	1	?type=Experiment&target.label=Ets96B
Ets97D	1	?type=Experiment&target.label=Ets97D
F10B5.3	1	?type=Experiment&target.label=F10B5.3
F10E7.11	1	?type=Experiment&target.label=F10E7.11
F13C5.2	1	?type=Experiment&target.label=F13C5.2
F16B12.6	1	?type=Experiment&target.label=F16B12.6
F22D6.2	1	?type=Experiment&target.label=F22D6.2
F37D6.2	1	?type=Experiment&target.label=F37D6.2
F52B5.7	1	?type=Experiment&target.label=F52B5.7
F55B11.4	1	?type=Experiment&target.label=F55B11.4
F57A8.1	1	?type=Experiment&target.label=F57A8.1
F57C9.4	1	?type=Experiment&target.label=F57C9.4
FASTKD1	1	?type=Experiment&target.label=FASTKD1
FEZF1	1	?type=Experiment&target.label=FEZF1
FOSB	1	?type=Experiment&target.label=FOSB
FOXC1	1	?type=Experiment&target.label=FOXC1
FOXF2	1	?type=Experiment&target.label=FOXF2
FOXJ2	1	?type=Experiment&target.label=FOXJ2
FOXO1	1	?type=Experiment&target.label=FOXO1
FOXO4	1	?type=Experiment&target.label=FOXO4
FOXQ1	1	?type=Experiment&target.label=FOXQ1
FOXS1	1	?type=Experiment&target.label=FOXS1
FYTTD1	1	?type=Experiment&target.label=FYTTD1
Fer1	1	?type=Experiment&target.label=Fer1
Fer2	1	?type=Experiment&target.label=Fer2
GABPB2	1	?type=Experiment&target.label=GABPB2
GATAD1	1	?type=Experiment&target.label=GATAD1
GATAd	1	?type=Experiment&target.label=GATAd
GFI1	1	?type=Experiment&target.label=GFI1
GLI2	1	?type=Experiment&target.label=GLI2
GLIS1	1	?type=Experiment&target.label=GLIS1
GLIS2	1	?type=Experiment&target.label=GLIS2
GLIS3	1	?type=Experiment&target.label=GLIS3
GLMP	1	?type=Experiment&target.label=GLMP
GLYR1	1	?type=Experiment&target.label=GLYR1
GMEB2	1	?type=Experiment&target.label=GMEB2
GNB2L1	1	?type=Experiment&target.label=GNB2L1
GPBP1L1	1	?type=Experiment&target.label=GPBP1L1
GPN1	1	?type=Experiment&target.label=GPN1
GRHL1	1	?type=Experiment&target.label=GRHL1
GRHL2	1	?type=Experiment&target.label=GRHL2
GSPT2	1	?type=Experiment&target.label=GSPT2
GTF2A2	1	?type=Experiment&target.label=GTF2A2
GTF2B	1	?type=Experiment&target.label=GTF2B
GTF2E2	1	?type=Experiment&target.label=GTF2E2
GTF3A	1	?type=Experiment&target.label=GTF3A
GZF1	1	?type=Experiment&target.label=GZF1
H2AK9ac	1	?type=Experiment&target.label=H2AK9ac
H3K79me3	1	?type=Experiment&target.label=H3K79me3
H3T11ph	1	?type=Experiment&target.label=H3T11ph
H4K12ac	1	?type=Experiment&target.label=H4K12ac
HA	1	?type=Experiment&target.label=HA
HDAC3	1	?type=Experiment&target.label=HDAC3
HES4	1	?type=Experiment&target.label=HES4
HEYL	1	?type=Experiment&target.label=HEYL
HIC1	1	?type=Experiment&target.label=HIC1
HIC2	1	?type=Experiment&target.label=HIC2
HLF	1	?type=Experiment&target.label=HLF
HLH106	1	?type=Experiment&target.label=HLH106
HLHmδ	1	?type=Experiment&target.label=HLHmδ
HMGB2	1	?type=Experiment&target.label=HMGB2
HMGN1	1	?type=Experiment&target.label=HMGN1
HMGN2	1	?type=Experiment&target.label=HMGN2
HMGXB3	1	?type=Experiment&target.label=HMGXB3
HNF1B	1	?type=Experiment&target.label=HNF1B
HNRNPA1L2	1	?type=Experiment&target.label=HNRNPA1L2
HNRNPCL1	1	?type=Experiment&target.label=HNRNPCL1
HNRNPDL	1	?type=Experiment&target.label=HNRNPDL
HNRNPH2	1	?type=Experiment&target.label=HNRNPH2
HOXA10	1	?type=Experiment&target.label=HOXA10
HOXA3	1	?type=Experiment&target.label=HOXA3
HOXA5	1	?type=Experiment&target.label=HOXA5
HOXA9	1	?type=Experiment&target.label=HOXA9
HOXB13	1	?type=Experiment&target.label=HOXB13
HOXB4	1	?type=Experiment&target.label=HOXB4
HOXB5	1	?type=Experiment&target.label=HOXB5
HOXB6	1	?type=Experiment&target.label=HOXB6
HOXB7	1	?type=Experiment&target.label=HOXB7
HOXB9	1	?type=Experiment&target.label=HOXB9
HOXD1	1	?type=Experiment&target.label=HOXD1
HOXD13	1	?type=Experiment&target.label=HOXD13
HSF2	1	?type=Experiment&target.label=HSF2
HSF4	1	?type=Experiment&target.label=HSF4
Hand	1	?type=Experiment&target.label=Hand
Hey	1	?type=Experiment&target.label=Hey
HmgD	1	?type=Experiment&target.label=HmgD
HmgZ	1	?type=Experiment&target.label=HmgZ
Hmr	1	?type=Experiment&target.label=Hmr
Hmx	1	?type=Experiment&target.label=Hmx
Hnf4	1	?type=Experiment&target.label=Hnf4
Hr38	1	?type=Experiment&target.label=Hr38
Hr83	1	?type=Experiment&target.label=Hr83
Hr96	1	?type=Experiment&target.label=Hr96
Hrb27C	1	?type=Experiment&target.label=Hrb27C
Hrb98DE	1	?type=Experiment&target.label=Hrb98DE
Hsf	1	?type=Experiment&target.label=Hsf
IKZF3	1	?type=Experiment&target.label=IKZF3
IKZF4	1	?type=Experiment&target.label=IKZF4
IKZF5	1	?type=Experiment&target.label=IKZF5
ILK	1	?type=Experiment&target.label=ILK
INSM2	1	?type=Experiment&target.label=INSM2
ISL1	1	?type=Experiment&target.label=ISL1
ISL2	1	?type=Experiment&target.label=ISL2
ISX	1	?type=Experiment&target.label=ISX
JAZF1	1	?type=Experiment&target.label=JAZF1
JDP2	1	?type=Experiment&target.label=JDP2
JRK	1	?type=Experiment&target.label=JRK
Jarid2	1	?type=Experiment&target.label=Jarid2
Jra	1	?type=Experiment&target.label=Jra
K02D7.2	1	?type=Experiment&target.label=K02D7.2
K09A11.1	1	?type=Experiment&target.label=K09A11.1
K12H6.12	1	?type=Experiment&target.label=K12H6.12
KDM2A	1	?type=Experiment&target.label=KDM2A
KDM2B	1	?type=Experiment&target.label=KDM2B
KDM3A	1	?type=Experiment&target.label=KDM3A
KDM4A	1	?type=Experiment&target.label=KDM4A
KHDRBS2	1	?type=Experiment&target.label=KHDRBS2
KHDRBS3	1	?type=Experiment&target.label=KHDRBS3
KIAA2018	1	?type=Experiment&target.label=KIAA2018
KLF11	1	?type=Experiment&target.label=KLF11
KLF12	1	?type=Experiment&target.label=KLF12
KLF14	1	?type=Experiment&target.label=KLF14
KLF17	1	?type=Experiment&target.label=KLF17
KLF2	1	?type=Experiment&target.label=KLF2
KLF4	1	?type=Experiment&target.label=KLF4
KLF5	1	?type=Experiment&target.label=KLF5
KLF7	1	?type=Experiment&target.label=KLF7
KLF8	1	?type=Experiment&target.label=KLF8
KMT2A	1	?type=Experiment&target.label=KMT2A
LBX2	1	?type=Experiment&target.label=LBX2
LDB1	1	?type=Experiment&target.label=LDB1
LIN54	1	?type=Experiment&target.label=LIN54
LMNA	1	?type=Experiment&target.label=LMNA
LMNB1	1	?type=Experiment&target.label=LMNB1
LMNB2	1	?type=Experiment&target.label=LMNB2
LRRFIP1	1	?type=Experiment&target.label=LRRFIP1
Lhr	1	?type=Experiment&target.label=Lhr
M03D4.4	1	?type=Experiment&target.label=M03D4.4
MBD4	1	?type=Experiment&target.label=MBD4
MBNL3	1	?type=Experiment&target.label=MBNL3
MCM3	1	?type=Experiment&target.label=MCM3
MDM2	1	?type=Experiment&target.label=MDM2
MECOM	1	?type=Experiment&target.label=MECOM
MED1	1	?type=Experiment&target.label=MED1
MED13	1	?type=Experiment&target.label=MED13
MEF2B	1	?type=Experiment&target.label=MEF2B
MEF2C	1	?type=Experiment&target.label=MEF2C
MESR4	1	?type=Experiment&target.label=MESR4
MIER1	1	?type=Experiment&target.label=MIER1
MIER2	1	?type=Experiment&target.label=MIER2
MIER3	1	?type=Experiment&target.label=MIER3
MIXL1	1	?type=Experiment&target.label=MIXL1
MLLT10	1	?type=Experiment&target.label=MLLT10
MLXIP	1	?type=Experiment&target.label=MLXIP
MNX1	1	?type=Experiment&target.label=MNX1
MSI1	1	?type=Experiment&target.label=MSI1
MSX2	1	?type=Experiment&target.label=MSX2
MTERF2	1	?type=Experiment&target.label=MTERF2
MTF-1	1	?type=Experiment&target.label=MTF-1
MTF2	1	?type=Experiment&target.label=MTF2
MYRF	1	?type=Experiment&target.label=MYRF
MZF1	1	?type=Experiment&target.label=MZF1
Mad	1	?type=Experiment&target.label=Mad
Max	1	?type=Experiment&target.label=Max
Med	1	?type=Experiment&target.label=Med
Meics	1	?type=Experiment&target.label=Meics
Mes4	1	?type=Experiment&target.label=Mes4
Met	1	?type=Experiment&target.label=Met
Mio	1	?type=Experiment&target.label=Mio
Mnt	1	?type=Experiment&target.label=Mnt
Myb	1	?type=Experiment&target.label=Myb
N	1	?type=Experiment&target.label=N
NAIF1	1	?type=Experiment&target.label=NAIF1
NC2α	1	?type=Experiment&target.label=NC2α
NC2β	1	?type=Experiment&target.label=NC2β
NCOA4	1	?type=Experiment&target.label=NCOA4
NCOA5	1	?type=Experiment&target.label=NCOA5
NCOA6	1	?type=Experiment&target.label=NCOA6
NFAT5	1	?type=Experiment&target.label=NFAT5
NFATC4	1	?type=Experiment&target.label=NFATC4
NFIA	1	?type=Experiment&target.label=NFIA
NFIL3	1	?type=Experiment&target.label=NFIL3
NFIX	1	?type=Experiment&target.label=NFIX
NFKB2	1	?type=Experiment&target.label=NFKB2
NFKBIZ	1	?type=Experiment&target.label=NFKBIZ
NFYC	1	?type=Experiment&target.label=NFYC
NK7.1	1	?type=Experiment&target.label=NK7.1
NKX3-1	1	?type=Experiment&target.label=NKX3-1
NOVA1	1	?type=Experiment&target.label=NOVA1
NR0B1	1	?type=Experiment&target.label=NR0B1
NR0B2	1	?type=Experiment&target.label=NR0B2
NR2E3	1	?type=Experiment&target.label=NR2E3
NR5A1	1	?type=Experiment&target.label=NR5A1
NR5A2	1	?type=Experiment&target.label=NR5A2
NRL	1	?type=Experiment&target.label=NRL
NSUN5	1	?type=Experiment&target.label=NSUN5
NUFIP1	1	?type=Experiment&target.label=NUFIP1
NUP98	1	?type=Experiment&target.label=NUP98
NUPL2	1	?type=Experiment&target.label=NUPL2
